1.7234e+07,8.6259e+09,8.6259e+09
6.1579e+06,3.0824e+09,3.0824e+09
1.5574e+06,7.7939e+08,7.7939e+08
1.15e+07,5.7571e+09,5.7571e+09
3.2815e+05,1.6422e+08,1.6422e+08
5.8302e+06,2.9182e+09,2.9182e+09
1.2132e+07,6.0733e+09,6.0733e+09
1.1187e+06,5.5984e+08,5.5984e+08
7.2815e+05,3.6449e+08,3.6449e+08
1.4426e+07,7.2206e+09,7.2206e+09
1.8457e+07,9.2382e+09,9.2382e+09
1.635e+07,8.1839e+09,8.1839e+09
4.2302e+06,2.1176e+09,2.1176e+09
4.3924e+06,2.1988e+09,2.1988e+09
1.8683e+07,9.3515e+09,9.3515e+09
7.4924e+06,3.7505e+09,3.7505e+09
5.7664e+06,2.8863e+09,2.8863e+09
8.8704e+06,4.4406e+09,4.4406e+09
5.0814e+06,2.5435e+09,2.5435e+09
3.5913e+06,1.7978e+09,1.7978e+09
1.4093e+07,7.0538e+09,7.0538e+09
2.1688e+07,1.0856e+10,1.0856e+10
1.2082e+07,6.0487e+09,6.0487e+09
2.1893e+07,1.0959e+10,1.0959e+10
1.6199e+07,8.108e+09,8.108e+09
1.1972e+07,5.9935e+09,5.9935e+09
2.1163e+07,1.0593e+10,1.0593e+10
9.7084e+06,4.86e+09,4.86e+09
1.8014e+07,9.0161e+09,9.0161e+09
1.0417e+06,5.2125e+08,5.2125e+08
7.1555e+06,3.5817e+09,3.5817e+09
3.431e+06,1.7175e+09,1.7175e+09
2.0415e+07,1.0219e+10,1.0219e+10
9.3394e+06,4.6753e+09,4.6753e+09
5.8534e+06,2.9297e+09,2.9297e+09
1.2934e+07,6.4744e+09,6.4744e+09
2.1976e+07,1.1e+10,1.1e+10
5.9261e+06,2.9662e+09,2.9662e+09
2.4284e+06,1.2154e+09,1.2154e+09
3.5286e+06,1.7663e+09,1.7663e+09
8.0188e+06,4.0144e+09,4.0144e+09
1.745e+07,8.7339e+09,8.7339e+09
2.1088e+07,1.0555e+10,1.0555e+10
9.5761e+06,4.7939e+09,4.7939e+09
1.8829e+07,9.4245e+09,9.4245e+09
1.8098e+07,9.0583e+09,9.0583e+09
1.9159e+07,9.5896e+09,9.5896e+09
1.7462e+07,8.7403e+09,8.7403e+09
1.9576e+06,9.7968e+08,9.7968e+08
8.2001e+06,4.1052e+09,4.1052e+09
9.7153e+06,4.8635e+09,4.8635e+09
6.4016e+06,3.2045e+09,3.2045e+09
3.154e+06,1.5786e+09,1.5786e+09
7.3639e+06,3.6861e+09,3.6861e+09
1.1473e+07,5.7436e+09,5.7436e+09
1.2536e+07,6.2756e+09,6.2756e+09
4.8878e+06,2.4467e+09,2.4467e+09
1.0252e+07,5.1321e+09,5.1321e+09
2.0234e+07,1.0128e+10,1.0128e+10
9.2226e+06,4.617e+09,4.617e+09
5.7659e+06,2.886e+09,2.886e+09
1.4149e+07,7.082e+09,7.082e+09
2.8376e+06,1.4203e+09,1.4203e+09
9.57e+06,4.7908e+09,4.7908e+09
1.5218e+07,7.617e+09,7.617e+09
5.0668e+06,2.5362e+09,2.5362e+09
