0,100,50
61579,30824,30824
15574,7794,7794
115000,57571,57571
3282,1643,1643
58302,29182,29182
121320,60733,60733
11187,5599,5599
7282,3645,3645
144260,72206,72206
184570,92382,92382
163500,81839,81839
42302,21176,21176
43924,21988,21988
186830,93515,93515
74924,37505,37505
57664,28863,28863
88704,44406,44406
50814,25435,25435
35913,17978,17978
140930,70538,70538
216880,108560,108560
120820,60487,60487
218930,109590,109590
161990,81080,81080
119720,59935,59935
211630,105930,105930
97084,48600,48600
180140,90161,90161
10417,5213,5213
71555,35817,35817
34310,17175,17175
204150,102190,102190
93394,46753,46753
58534,29297,29297
129340,64744,64744
219760,110000,110000
59261,29662,29662
24284,12154,12154
35286,17663,17663
80188,40144,40144
174500,87339,87339
210880,105550,105550
95761,47939,47939
188290,94245,94245
180980,90583,90583
191590,95896,95896
174620,87403,87403
19576,9797,9797
82001,41052,41052
97153,48635,48635
64016,32045,32045
31540,15786,15786
73639,36861,36861
114730,57436,57436
125360,62756,62756
48878,24467,24467
102520,51321,51321
202340,101280,101280
92226,46170,46170
57659,28860,28860
141490,70820,70820
28376,14203,14203
95700,47908,47908
152180,76170,76170
50668,25362,25362
172990,86583,86583
57463,28763,28763
86350,43229,43229
118790,59471,59471
70405,35241,35241
202690,101460,101460
67447,33762,33762
81602,40852,40852
215000,107620,107620
60248,30158,30158
19716,9867,9867
86729,43418,43418
85242,42675,42675
4543,2274,2274
83312,41709,41709
125620,62885,62885
20108,10063,10063
98853,49487,49487
194830,97520,97520
52968,26511,26511
119450,59801,59801
36694,18368,18368
168980,84578,84578
10011,5010,5010
66543,33311,33311
15954,7984,7984
185580,92884,92884
31067,15551,15551
214470,107350,107350
207200,103710,103710
59501,29783,29783
68047,34061,34061
154410,77289,77289
11279,5645,5645
98828,49475,49475
111560,55851,55851
211550,105890,105890
15383,7699,7699
154460,77312,77312
180680,90431,90431
147670,73913,73913
207370,103790,103790
46091,23070,23070
104150,52135,52136
199910,100070,100070
101500,50813,50813
130160,65154,65154
6602,3304,3304
