1.3478e+06,379,1.3478e+08,1.3478e+06
1.3847e+06,756,1.3847e+08,1.3847e+06
47566,44,4.7566e+06,47567
1.4396e+06,47,1.4396e+08,1.4396e+06
8.2039e+05,836,8.2039e+07,8.2039e+05
9.3493e+05,961,9.3493e+07,9.3493e+05
1.9596e+06,425,1.9596e+08,1.9596e+06
8.2474e+05,29,8.2474e+07,8.2474e+05
5.1216e+05,504,5.1216e+07,5.1216e+05
1.7352e+06,24,1.7352e+08,1.7352e+06
8.1688e+05,263,8.1688e+07,8.1687e+05
4.721e+05,385,4.721e+07,4.721e+05
4.6451e+05,617,4.6451e+07,4.6451e+05
6.3551e+05,212,6.3551e+07,6.3551e+05
1.3352e+06,751,1.3352e+08,1.3352e+06
1.0211e+06,106,1.0211e+08,1.0211e+06
8.9968e+05,650,8.9968e+07,8.9968e+05
1.731e+06,16,1.731e+08,1.731e+06
1.558e+06,13,1.558e+08,1.558e+06
2.2883e+05,211,2.2883e+07,2.2883e+05
9.942e+05,569,9.942e+07,9.9421e+05
7.3018e+05,389,7.3018e+07,7.3018e+05
6.1247e+05,662,6.1247e+07,6.1248e+05
1.1691e+06,171,1.1691e+08,1.1691e+06
1.8108e+06,126,1.8108e+08,1.8108e+06
7.5085e+05,378,7.5085e+07,7.5085e+05
9.0632e+05,987,9.0632e+07,9.0632e+05
1.5756e+06,765,1.5756e+08,1.5756e+06
8.3472e+05,491,8.3472e+07,8.3472e+05
1.4169e+06,898,1.4169e+08,1.4169e+06
1.4046e+06,38,1.4046e+08,1.4046e+06
2.851e+05,405,2.851e+07,2.851e+05
7.5402e+05,641,7.5402e+07,7.5402e+05
4.9449e+05,506,4.9449e+07,4.9449e+05
1.4389e+05,586,1.4389e+07,1.4389e+05
4.8363e+05,171,4.8363e+07,4.8363e+05
1.5458e+06,736,1.5458e+08,1.5458e+06
3.0576e+05,4,3.0576e+07,3.0576e+05
1.705e+06,244,1.705e+08,1.705e+06
9.8618e+05,694,9.8618e+07,9.8618e+05
1.3192e+06,932,1.3192e+08,1.3192e+06
4.8231e+05,587,4.8231e+07,4.8232e+05
1.004e+06,159,1.004e+08,1.004e+06
55058,241,5.5058e+06,55059
1.6928e+05,763,1.6928e+07,1.6928e+05
1.5123e+06,334,1.5123e+08,1.5123e+06
1.3739e+06,660,1.3739e+08,1.3739e+06
1.5353e+05,763,1.5353e+07,1.5353e+05
9.6713e+05,921,9.6713e+07,9.6713e+05
1.3692e+06,216,1.3692e+08,1.3692e+06
7.6683e+05,307,7.6683e+07,7.6683e+05
1.108e+05,695,1.108e+07,1.108e+05
5.5429e+05,302,5.5429e+07,5.5428e+05
1.321e+06,944,1.321e+08,1.321e+06
1.7758e+06,554,1.7758e+08,1.7758e+06
5.7684e+05,363,5.7684e+07,5.7684e+05
4.9546e+05,68,4.9546e+07,4.9546e+05
3.3204e+05,281,3.3204e+07,3.3205e+05
1.324e+06,938,1.324e+08,1.324e+06
8.9273e+05,98,8.9273e+07,8.9273e+05
2.576e+05,409,2.576e+07,2.576e+05
8.0193e+05,910,8.0193e+07,8.0193e+05
1.6482e+06,721,1.6482e+08,1.6482e+06
1.6625e+06,878,1.6625e+08,1.6625e+06
1.1825e+06,990,1.1825e+08,1.1825e+06
1.6235e+06,344,1.6235e+08,1.6235e+06
4.003e+05,404,4.003e+07,4.003e+05
7.2502e+05,311,7.2502e+07,7.2502e+05
5.7072e+05,607,5.7072e+07,5.7072e+05
1.789e+06,978,1.789e+08,1.789e+06
1.9611e+05,72,1.9611e+07,1.9611e+05
3.7576e+05,629,3.7576e+07,3.7575e+05
4.3318e+05,633,4.3318e+07,4.3318e+05
8.6244e+05,32,8.6244e+07,8.6244e+05
7.7004e+05,177,7.7004e+07,7.7005e+05
8.1344e+05,30,8.1344e+07,8.1344e+05
1.9732e+06,658,1.9732e+08,1.9732e+06
1.1279e+06,0,1.1279e+08,1.1279e+06
1.4487e+06,16,1.4487e+08,1.4487e+06
1.7099e+06,4,1.7099e+08,1.7099e+06
7.2297e+05,936,7.2297e+07,7.2297e+05
1.9567e+06,102,1.9567e+08,1.9567e+06
6.9967e+05,537,6.9967e+07,6.9967e+05
8.7344e+05,494,8.7344e+07,8.7344e+05
1.3939e+06,308,1.3939e+08,1.3939e+06
1.6846e+06,712,1.6846e+08,1.6846e+06
5.1055e+05,624,5.1055e+07,5.1055e+05
1.7984e+06,99,1.7984e+08,1.7984e+06
1.9217e+06,796,1.9217e+08,1.9217e+06
9.2881e+05,47,9.2881e+07,9.2881e+05
1.9847e+06,31,1.9847e+08,1.9847e+06
1.1844e+06,875,1.1844e+08,1.1844e+06
1.216e+05,358,1.216e+07,1.2161e+05
1.2706e+06,362,1.2706e+08,1.2706e+06
4.4697e+05,205,4.4697e+07,4.4697e+05
1.6959e+06,246,1.6959e+08,1.6959e+06
3.1997e+05,528,3.1997e+07,3.1997e+05
1.2156e+06,677,1.2156e+08,1.2156e+06
14275,196,1.4275e+06,14276
1.9118e+06,54,1.9118e+08,1.9118e+06
1.917e+06,980,1.917e+08,1.917e+06
1.5898e+06,601,1.5898e+08,1.5898e+06
3.3927e+05,479,3.3927e+07,3.3927e+05
1.5588e+05,2,1.5588e+07,1.5588e+05
4.9966e+05,482,4.9966e+07,4.9966e+05
1.6147e+06,322,1.6147e+08,1.6147e+06
1.8769e+06,64,1.8769e+08,1.8769e+06
5.65e+05,917,5.65e+07,5.65e+05
1.5995e+05,462,1.5995e+07,1.5995e+05
1.5952e+06,980,1.5952e+08,1.5952e+06
6.434e+05,758,6.434e+07,6.434e+05
1.4595e+06,867,1.4595e+08,1.4595e+06
1.0803e+06,668,1.0803e+08,1.0803e+06
4.566e+05,839,4.566e+07,4.566e+05
